code_postal,latitude,longitude,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
1230,45.8834810846,5.47541328981,Conand,1,Ain,84,Auvergne-Rhône-Alpes
1430,46.105831161,5.55568206762,Condamine,1,Ain,84,Auvergne-Rhône-Alpes
1400,46.1538469834,5.08437171701,Condeissiat,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.1543700156,5.83319395258,Confort,1,Ain,84,Auvergne-Rhône-Alpes
1310,46.270304175,5.05775217893,Confrançon,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.8009403071,5.62087768159,Contrevoz,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7253102173,5.60442351043,Conzieu,1,Ain,84,Auvergne-Rhône-Alpes
1420,45.9659473187,5.78961970355,Corbonod,1,Ain,84,Auvergne-Rhône-Alpes
1110,46.0336885573,5.49635755029,Corlier,1,Ain,84,Auvergne-Rhône-Alpes
1110,45.9442772826,5.60860828487,Cormaranche-en-Bugey,1,Ain,84,Auvergne-Rhône-Alpes
1290,46.2403530179,4.8276569593,Cormoranche-sur-Saône,1,Ain,84,Auvergne-Rhône-Alpes
1560,46.4336632942,5.22181275755,Cormoz,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.2505107235,5.47152467919,Corveissiat,1,Ain,84,Auvergne-Rhône-Alpes
1370,46.3267864521,5.35558241812,Courmangoux,1,Ain,84,Auvergne-Rhône-Alpes
1560,46.4570082032,5.11128546723,Courtes,1,Ain,84,Auvergne-Rhône-Alpes
1320,45.9663793103,5.19490390871,Crans,1,Ain,84,Auvergne-Rhône-Alpes
1340,46.3130831891,5.17796707174,Cras-sur-Reyssouze,1,Ain,84,Auvergne-Rhône-Alpes
1350,45.7826434885,5.76546256637,Cressin-Rochefort,1,Ain,84,Auvergne-Rhône-Alpes
1290,46.283072336,4.87747971182,Crottet,1,Ain,84,Auvergne-Rhône-Alpes
1750,46.283072336,4.87747971182,Crottet,1,Ain,84,Auvergne-Rhône-Alpes
1170,46.2915659686,5.99510417092,Crozet,1,Ain,84,Auvergne-Rhône-Alpes
1290,46.2220588715,4.8752193513,Cruzilles-lès-Mépillat,1,Ain,84,Auvergne-Rhône-Alpes
1350,45.8559966843,5.78398308932,Culoz,1,Ain,84,Auvergne-Rhône-Alpes
1560,46.4885456881,5.16344336837,Curciat-Dongalon,1,Ain,84,Auvergne-Rhône-Alpes
1310,46.273150382,5.1020896267,Curtafond,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.8200002803,5.6765554896,Cuzieu,1,Ain,84,Auvergne-Rhône-Alpes
1120,45.8531616918,5.07289166803,Dagneux,1,Ain,84,Auvergne-Rhône-Alpes
1220,46.3756333495,6.1158647611,Divonne-les-Bains,1,Ain,84,Auvergne-Rhône-Alpes
1380,46.33627762,4.99863894,Dommartin,1,Ain,84,Auvergne-Rhône-Alpes
1240,46.0667883703,5.21665199666,Dompierre-sur-Veyle,1,Ain,84,Auvergne-Rhône-Alpes
1400,46.1415406621,4.90141714714,Dompierre-sur-Chalaronne,1,Ain,84,Auvergne-Rhône-Alpes
1270,46.4244066427,5.29313479651,Domsure,1,Ain,84,Auvergne-Rhône-Alpes
1590,46.3133221173,5.64146584117,Dortan,1,Ain,84,Auvergne-Rhône-Alpes
1500,45.984297392,5.37106901673,Douvres,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.2196603059,5.36799994918,Drom,1,Ain,84,Auvergne-Rhône-Alpes
1160,46.067579544,5.29361666429,Druillat,1,Ain,84,Auvergne-Rhône-Alpes
1130,46.2271364137,5.73330448395,Échallon,1,Ain,84,Auvergne-Rhône-Alpes
1170,46.3160845207,6.01926187996,Échenevex,1,Ain,84,Auvergne-Rhône-Alpes
1340,46.3380891758,5.19286414645,Étrez,1,Ain,84,Auvergne-Rhône-Alpes
1230,45.965147537,5.50283599885,Évosges,1,Ain,84,Auvergne-Rhône-Alpes
1800,45.9104942091,5.1249258559,Faramans,1,Ain,84,Auvergne-Rhône-Alpes
1480,46.020997974,4.7620080898,Fareins,1,Ain,84,Auvergne-Rhône-Alpes
1550,46.166230455,5.90019477201,Farges,1,Ain,84,Auvergne-Rhône-Alpes
1570,46.3365833672,4.88507050971,Feillens,1,Ain,84,Auvergne-Rhône-Alpes
1210,46.2519789243,6.10826403805,Ferney-Voltaire,1,Ain,84,Auvergne-Rhône-Alpes
1350,45.8113298005,5.74459048839,Flaxieu,1,Ain,84,Auvergne-Rhône-Alpes
1340,46.3784759782,5.18483641417,Foissiat,1,Ain,84,Auvergne-Rhône-Alpes
1090,46.0735946256,4.81293575559,Francheleins,1,Ain,84,Auvergne-Rhône-Alpes
1090,46.0735946256,4.81293575559,Francheleins,1,Ain,84,Auvergne-Rhône-Alpes
1090,46.0735946256,4.81293575559,Francheleins,1,Ain,84,Auvergne-Rhône-Alpes
1480,45.9939065077,4.78033196905,Frans,1,Ain,84,Auvergne-Rhône-Alpes
1140,46.2136224825,4.82843188743,Garnerans,1,Ain,84,Auvergne-Rhône-Alpes
1090,46.1201611728,4.79288195016,Genouilleux,1,Ain,84,Auvergne-Rhône-Alpes
1460,46.1896733539,5.55139781353,Béard-Géovreissiat,1,Ain,84,Auvergne-Rhône-Alpes
1100,46.2508621615,5.61271973915,Géovreisset,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.3054983344,5.45012798616,Germagnat,1,Ain,84,Auvergne-Rhône-Alpes
1170,46.3471891747,6.04650555568,Gex,1,Ain,84,Auvergne-Rhône-Alpes
1130,46.2227121191,5.78049809256,Giron,1,Ain,84,Auvergne-Rhône-Alpes
1190,46.414943437,4.95120595427,Gorrevod,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.207387937,5.43318666027,Grand-Corent,1,Ain,84,Auvergne-Rhône-Alpes
1290,46.2633634407,4.84621318847,Grièges,1,Ain,84,Auvergne-Rhône-Alpes
1220,46.3318810665,6.11366767978,Grilly,1,Ain,84,Auvergne-Rhône-Alpes
1100,46.2260039429,5.61095413441,Groissiat,1,Ain,84,Auvergne-Rhône-Alpes
1090,46.106624674,4.78159420118,Guéreins,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.1611241927,5.42944457639,Hautecourt-Romanèche,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.1611241927,5.42944457639,Hautecourt-Romanèche,1,Ain,84,Auvergne-Rhône-Alpes
1110,45.9696520061,5.57627261783,Hauteville-Lompnes,1,Ain,84,Auvergne-Rhône-Alpes
1110,45.9061631889,5.54077986031,Hostiaz,1,Ain,84,Auvergne-Rhône-Alpes
1260,46.0317412192,5.70267027388,Haut Valromey,1,Ain,84,Auvergne-Rhône-Alpes
1260,46.0317412192,5.70267027388,Haut Valromey,1,Ain,84,Auvergne-Rhône-Alpes
1260,46.0317412192,5.70267027388,Haut Valromey,1,Ain,84,Auvergne-Rhône-Alpes
1260,46.0317412192,5.70267027388,Haut Valromey,1,Ain,84,Auvergne-Rhône-Alpes
1140,46.1866986838,4.88840344003,Illiat,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.0497734524,5.75991363273,Injoux-Génissiat,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.0497734524,5.75991363273,Injoux-Génissiat,1,Ain,84,Auvergne-Rhône-Alpes
1680,45.7919647191,5.57389398559,Innimond,1,Ain,84,Auvergne-Rhône-Alpes
1430,46.0381623415,5.52447901164,Izenave,1,Ain,84,Auvergne-Rhône-Alpes
1580,46.2179780137,5.56258251719,Izernore,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.6557496407,5.63909140794,Izieu,1,Ain,84,Auvergne-Rhône-Alpes
1480,45.9777239103,4.75984637871,Jassans-Riottier,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.2150037064,5.31215372338,Jasseron,1,Ain,84,Auvergne-Rhône-Alpes
1340,46.3660828991,5.11429701617,Jayat,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.1464982407,5.33452833151,Journans,1,Ain,84,Auvergne-Rhône-Alpes
1800,45.9499899849,5.10261326872,Joyeux,1,Ain,84,Auvergne-Rhône-Alpes
1640,46.0497041467,5.41094771899,Jujurieux,1,Ain,84,Auvergne-Rhône-Alpes
1450,46.0932491295,5.49438685213,Labalme,1,Ain,84,Auvergne-Rhône-Alpes
1150,45.8917015798,5.32917518895,Lagnieu,1,Ain,84,Auvergne-Rhône-Alpes
1290,46.2469919709,4.89933490972,Laiz,1,Ain,84,Auvergne-Rhône-Alpes
1130,46.1479592076,5.71829194244,Le Poizat-Lalleyriat,1,Ain,84,Auvergne-Rhône-Alpes
1130,46.1479592076,5.71829194244,Le Poizat-Lalleyriat,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.1323202721,5.84050985141,Lancrans,1,Ain,84,Auvergne-Rhône-Alpes
1430,46.0544405897,5.54127421165,Lantenay,1,Ain,84,Auvergne-Rhône-Alpes
1330,45.9859131165,4.98196682865,Lapeyrouse,1,Ain,84,Auvergne-Rhône-Alpes
1350,45.8108837933,5.77267317838,Lavours,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.1086518044,5.87649017888,Léaz,1,Ain,84,Auvergne-Rhône-Alpes
1410,46.2855010936,5.92927713771,Lélex,1,Ain,84,Auvergne-Rhône-Alpes
1240,46.1160216305,5.20200684747,Lent,1,Ain,84,Auvergne-Rhône-Alpes
1560,46.4114892731,5.15107164478,Lescheroux,1,Ain,84,Auvergne-Rhône-Alpes
1150,45.9269989549,5.2947657235,Leyment,1,Ain,84,Auvergne-Rhône-Alpes
1450,46.1624187428,5.47633297491,Leyssard,1,Ain,84,Auvergne-Rhône-Alpes
1420,46.0238143134,5.76236736492,Lhôpital,1,Ain,84,Auvergne-Rhône-Alpes
1680,45.7444141403,5.53602066955,Lhuis,1,Ain,84,Auvergne-Rhône-Alpes
1260,45.9302479879,5.7413126836,Lochieu,1,Ain,84,Auvergne-Rhône-Alpes
1680,45.8105943351,5.52320457866,Lompnas,1,Ain,84,Auvergne-Rhône-Alpes
1260,45.9690865613,5.65968816497,Lompnieu,1,Ain,84,Auvergne-Rhône-Alpes
1360,45.7921564114,5.21770971647,Loyettes,1,Ain,84,Auvergne-Rhône-Alpes
1090,46.061730034,4.78075207026,Lurcy,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7754050255,5.71540945601,Magnieu,1,Ain,84,Auvergne-Rhône-Alpes
1430,46.1201642836,5.52854394238,Maillat,1,Ain,84,Auvergne-Rhône-Alpes
1340,46.3295545661,5.14386299599,Malafretaz,1,Ain,84,Auvergne-Rhône-Alpes
1560,46.4302754511,5.10675899732,Mantenay-Montlin,1,Ain,84,Auvergne-Rhône-Alpes
1570,46.3643830585,4.90242777155,Manziat,1,Ain,84,Auvergne-Rhône-Alpes
1851,46.3434312497,5.24374534963,Marboz,1,Ain,84,Auvergne-Rhône-Alpes
1680,45.7738495266,5.54985181107,Marchamp,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.8010384947,5.71570352924,Marignieu,1,Ain,84,Auvergne-Rhône-Alpes
1240,46.0549073186,5.0741150816,Marlieux,1,Ain,84,Auvergne-Rhône-Alpes
1340,46.3409117711,5.06434294764,Marsonnas,1,Ain,84,Auvergne-Rhône-Alpes
1100,46.2030768095,5.61384033805,Martignat,1,Ain,84,Auvergne-Rhône-Alpes
1600,45.9094016817,4.82779660051,Massieux,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7571503942,5.7620535823,Massignieu-de-Rives,1,Ain,84,Auvergne-Rhône-Alpes
1580,46.2565319445,5.53958933702,Matafelon-Granges,1,Ain,84,Auvergne-Rhône-Alpes
1580,46.2565319445,5.53958933702,Matafelon-Granges,1,Ain,84,Auvergne-Rhône-Alpes
1370,46.244997627,5.33594738489,Meillonnas,1,Ain,84,Auvergne-Rhône-Alpes
1450,46.0648564341,5.44210660051,Mérignat,1,Ain,84,Auvergne-Rhône-Alpes
1480,46.0472670758,4.75935643933,Messimy-sur-Saône,1,Ain,84,Auvergne-Rhône-Alpes
1800,45.9060530318,5.20404833653,Meximieux,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,1,Ain,84,Auvergne-Rhône-Alpes
1660,46.2423102101,5.04725416984,Mézériat,1,Ain,84,Auvergne-Rhône-Alpes
1170,46.3622451724,6.00902631941,Mijoux,1,Ain,84,Auvergne-Rhône-Alpes
1410,46.3622451724,6.00902631941,Mijoux,1,Ain,84,Auvergne-Rhône-Alpes
1390,45.8955939299,4.92416967439,Mionnay,1,Ain,84,Auvergne-Rhône-Alpes
1700,45.8442099203,4.94106746787,Miribel,1,Ain,84,Auvergne-Rhône-Alpes
1700,45.8442099203,4.94106746787,Miribel,1,Ain,84,Auvergne-Rhône-Alpes
1700,45.8442099203,4.94106746787,Miribel,1,Ain,84,Auvergne-Rhône-Alpes
1600,45.9762325343,4.81028471711,Misérieux,1,Ain,84,Auvergne-Rhône-Alpes
1140,46.1446696076,4.820110702,Mogneneins,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.1686969123,5.27962107938,Montagnat,1,Ain,84,Auvergne-Rhône-Alpes
1470,45.799449019,5.46428608859,Montagnieu,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.17325293,5.79006091307,Montanges,1,Ain,84,Auvergne-Rhône-Alpes
1090,46.0962893261,4.80453564172,Montceaux,1,Ain,84,Auvergne-Rhône-Alpes
1310,46.219333227,5.11149132074,Montcet,1,Ain,84,Auvergne-Rhône-Alpes
1800,45.9287482486,5.07092815964,Le Montellier,1,Ain,84,Auvergne-Rhône-Alpes
1390,45.9622791838,4.94555984534,Monthieux,1,Ain,84,Auvergne-Rhône-Alpes
1120,45.8909006209,5.01987566185,Montluel,1,Ain,84,Auvergne-Rhône-Alpes
1120,45.8909006209,5.01987566185,Montluel,1,Ain,84,Auvergne-Rhône-Alpes
1120,45.8909006209,5.01987566185,Montluel,1,Ain,84,Auvergne-Rhône-Alpes
1090,46.0849573236,4.7608579486,Montmerle-sur-Saône,1,Ain,84,Auvergne-Rhône-Alpes
1310,46.1867200301,5.11706011755,Montracol,1,Ain,84,Auvergne-Rhône-Alpes
1460,46.1795688194,5.59510550127,Montréal-la-Cluse,1,Ain,84,Auvergne-Rhône-Alpes
1340,46.3252811442,5.11295966315,Montrevel-en-Bresse,1,Ain,84,Auvergne-Rhône-Alpes
1460,46.1830720992,5.51435812316,Nurieux-Volognat,1,Ain,84,Auvergne-Rhône-Alpes
1460,46.1830720992,5.51435812316,Nurieux-Volognat,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.6420014274,5.66039684889,Murs-et-Gélignieux,1,Ain,84,Auvergne-Rhône-Alpes
1130,46.1537845403,5.61352793799,Nantua,1,Ain,84,Auvergne-Rhône-Alpes
1460,46.1537845403,5.61352793799,Nantua,1,Ain,84,Auvergne-Rhône-Alpes
1400,46.1567753049,5.00942432434,Neuville-les-Dames,1,Ain,84,Auvergne-Rhône-Alpes
1160,46.0909654813,5.37349784691,Neuville-sur-Ain,1,Ain,84,Auvergne-Rhône-Alpes
1130,46.1342937114,5.63714517869,Les Neyrolles,1,Ain,84,Auvergne-Rhône-Alpes
